[5608,4322,3212,17887,9963,3857,9574]|[13262,12587,12127,55581,33184,12757,20298]|[9400,8666,8147,42844,23921,8855,11694]|[4705,4346,4022,22821,13052,4816,7581]|[2334,1877,1651,10300,6301,2288,3490]|[1348,1290,1355,8907,5230,1682,2659]|[24713,23659,21050,109996,66908,22102,19410]|[6450,5533,4512,22964,13281,4097,7798]|[1212,1221,937,6374,4725,1699,2016]|[1704,1356,1348,9555,5925,2149,3001]|[109568,121651,103298,695459,512013,170243,84756]|[25976,24970,24187,130380,85208,26356,20301]|[2039,1981,1551,8078,4376,1588,2320]|[350,374,341,2073,1105,332,976]|[514,481,483,3500,2182,835,1108]|[894,977,953,4544,2493,874,1547]|[1424,1596,1377,6310,3486,1338,2595]|[1679,1724,1504,11390,7989,2915,2891]|[3605,3845,3039,17349,12272,3871,3790]|[2312,2755,2721,16324,9927,3299,2543]|[1263,1611,1702,8330,4055,1494,1417]|[870,986,917,4517,2648,901,949]|[518,574,603,3330,1908,729,580]|[412,537,642,3836,2173,675,620]|[613,903,819,4413,2149,807,981]|[119,129,131,705,350,158,166]|[2220,2579,2380,16042,8874,3302,2422]|[8935,9527,8304,57750,40118,13032,9913]|[458,399,388,1692,836,330,762]|[349,364,329,1803,1088,355,638]|[280,270,236,974,322,107,474]|[974,858,778,4106,2311,827,1568]|[145,152,155,769,276,84,280]
[2346,1852,1523,10427,6136,2789,5870]|[10428,9484,8004,40842,22756,9343,13554]|[7790,6411,5054,28836,15826,6633,9406]|[2715,2786,2464,15660,9622,4258,4877]|[1183,1017,725,5723,3722,1547,2112]|[947,901,827,6831,4389,1989,2381]|[7421,6082,5421,35957,22931,8822,8491]|[3552,2470,2225,14062,8645,3496,4884]|[627,465,446,3727,2876,1244,1210]|[859,838,735,6171,4219,1964,2057]|[18618,17578,16574,140642,88915,37023,22048]|[92114,102192,94694,645696,446427,164435,79872]|[800,695,546,3805,2135,989,1191]|[199,201,211,1716,1095,457,560]|[283,265,231,1825,1389,548,978]|[357,498,415,2607,1697,674,780]|[696,769,862,4765,2913,1434,1420]|[720,494,468,5270,4239,2146,1602]|[1857,1864,1572,10549,7768,2503,1833]|[986,1257,1146,8418,5656,1938,1341]|[406,532,588,3042,1868,707,573]|[335,387,370,2084,1303,448,372]|[202,216,243,1437,772,326,268]|[201,263,290,1871,916,343,315]|[314,406,422,2303,1150,547,401]|[56,69,66,240,120,78,61]|[441,575,479,4383,2755,1144,708]|[4746,4269,3776,33360,26034,10605,7063]|[179,165,157,709,455,191,315]|[138,179,179,1048,717,349,447]|[107,115,118,545,173,83,286]|[336,340,392,2267,1386,616,933]|[40,50,49,275,94,39,134]
[6292,4492,3594,21060,13754,4760,7000]|[6040,4551,4565,23463,13701,5261,8693]|[2283,1743,1858,10625,6739,2324,2130]|[4096,3209,3625,19447,12571,5505,5841]|[3080,2471,2112,12876,8572,2981,2662]|[1104,923,937,6442,4031,1345,1357]|[7360,6090,5048,30031,21821,6450,4459]|[14082,11307,9936,56355,35585,12968,11934]|[718,697,530,4583,3970,1105,798]|[1141,945,946,7069,5104,1776,1424]|[1458,1413,1367,8682,6556,1716,1201]|[602,599,637,3847,2875,824,824]|[33897,39872,34480,234225,171172,65541,30573]|[287,254,255,1905,1263,338,419]|[395,310,280,2077,1638,561,387]|[441,476,596,2992,2138,751,748]|[910,934,981,4672,3027,1289,1518]|[2526,2633,2722,24816,21187,6920,3159]|[452,392,363,2038,1305,299,323]|[237,323,342,1510,991,272,144]|[162,226,248,1255,735,194,141]|[130,163,178,823,446,96,148]|[88,116,104,616,350,117,144]|[83,95,119,526,210,74,64]|[138,172,173,917,437,181,248]|[15,15,21,152,64,23,22]|[231,294,270,1515,886,238,164]|[219,342,352,2135,1898,469,301]|[149,186,164,809,548,141,200]|[155,189,165,889,616,217,200]|[92,108,120,427,163,49,119]|[481,466,434,2513,1638,477,530]|[36,46,55,201,55,18,80]
[4133,3292,2599,15476,9354,3929,8082]|[3805,3542,3299,16987,9333,3927,7255]|[469,508,479,2795,1529,643,1095]|[1337,1349,1363,8348,5489,2871,3296]|[923,686,604,4164,2915,1142,2018]|[1820,1469,1412,10130,6876,2822,3370]|[530,531,504,3343,2511,907,958]|[1059,954,923,5335,3435,1345,1967]|[3546,2839,2444,18301,13597,5341,4502]|[3740,2813,2562,16575,11876,5022,4368]|[339,287,336,2325,1411,473,496]|[233,246,236,1697,1067,440,446]|[308,344,253,1593,884,420,751]|[68327,77765,78393,549414,348306,136284,75742]|[7390,6097,5650,52270,34772,15435,10965]|[2204,1935,1683,12372,8052,3834,3250]|[1150,1372,1213,6316,4291,1876,2100]|[306,323,284,2234,1813,829,849]|[263,284,263,1465,872,291,454]|[117,133,151,721,440,154,203]|[118,90,122,507,251,107,143]|[80,79,67,368,206,57,113]|[48,58,63,305,161,77,121]|[65,63,58,316,139,72,112]|[86,87,98,523,231,121,221]|[13,14,13,74,32,11,26]|[178,155,108,580,285,80,194]|[128,128,141,980,617,230,312]|[728,764,747,4546,2892,1206,1151]|[874,912,781,5043,3995,1293,1411]|[379,430,319,1493,888,365,588]|[7818,7331,7303,61645,40942,18608,12970]|[90,124,111,424,144,60,209]
[11257,7446,4736,26441,16741,6037,10951]|[6633,6116,5527,25483,15410,6104,10260]|[1034,904,808,4306,2569,1121,1735]|[2106,1989,1819,10336,6782,2401,3309]|[1988,1323,947,6358,4690,1500,2210]|[4624,3363,2607,16537,12843,4082,4821]|[1091,1247,1041,5251,4063,1292,1249]|[1831,1617,1298,7128,4651,1627,2407]|[14867,14832,13195,78846,55952,18237,10733]|[8855,7685,6350,35123,25568,8918,6658]|[649,571,613,3612,2261,848,1032]|[385,319,319,1884,1464,410,628]|[538,481,380,2017,1295,529,677]|[12503,10012,8460,47146,32089,10963,8617]|[52489,60755,48160,326076,249763,82140,42292]|[5482,4770,4037,24989,15098,5901,4211]|[1897,1592,1324,5642,3879,1371,2227]|[580,481,422,2803,2498,1025,1038]|[309,372,299,1614,962,317,438]|[250,293,283,1186,675,198,220]|[199,218,192,770,376,148,234]|[130,132,133,609,288,91,195]|[121,121,105,399,195,76,104]|[81,71,80,470,169,60,118]|[140,154,133,729,290,136,203]|[18,23,30,134,68,31,47]|[227,256,209,840,371,132,217]|[225,292,250,1269,880,303,392]|[778,862,705,3457,2033,744,953]|[905,874,714,3715,2632,895,1045]|[352,454,399,1454,643,214,615]|[7248,6315,5066,31606,21212,7481,6468]|[175,188,206,699,243,89,242]
[10156,9023,7138,44904,26702,9574,11053]|[5153,4973,4581,23959,14209,4686,6528]|[910,797,791,5113,2960,1028,1294]|[1772,1751,1860,11632,7766,3484,3341]|[1171,1032,941,6379,4025,1277,1519]|[1334,1058,1049,7925,5354,1642,2306]|[1199,1177,1150,7689,5482,1575,1610]|[1238,1444,1378,8509,5458,1941,2279]|[4474,3907,3362,23249,17015,5228,4257]|[2183,2183,1995,13875,9403,3116,2640]|[568,620,658,4943,3333,937,925]|[352,431,377,2622,1611,536,673]|[542,684,487,3055,1889,829,825]|[2402,2152,2055,12913,8721,2726,2654]|[4153,3733,3657,25382,17409,5833,3406]|[81198,101386,90210,589340,370516,141873,77182]|[44101,35963,29654,138901,79106,32536,35614]|[3650,3716,3434,22211,16160,7564,5966]|[352,430,375,2441,1580,507,572]|[257,336,324,1978,1082,390,337]|[238,290,279,1483,805,228,353]|[129,163,159,1011,546,162,225]|[116,114,105,835,438,206,250]|[75,99,129,700,330,155,137]|[186,251,243,1449,747,337,394]|[28,34,41,244,89,66,69]|[354,378,315,1652,889,265,415]|[231,255,284,1924,1191,388,435]|[879,827,757,4293,2961,905,1191]|[908,992,758,5148,3627,1087,1324]|[475,508,554,2249,1094,299,603]|[7577,7712,6567,40834,26012,7953,7208]|[209,280,248,1101,374,131,320]
[9325,8588,7548,66577,51164,16869,16144]|[5128,6007,6947,43895,25766,9084,8937]|[1007,935,1083,8409,5195,1749,1744]|[2148,2401,2977,22022,15631,8879,6480]|[1234,1303,1132,9376,7051,2607,2100]|[1002,964,1028,9830,6721,2290,1866]|[1328,1287,1399,12188,9556,3502,1997]|[1375,1634,1783,14068,9901,4207,3220]|[1733,1793,1491,14912,12154,4139,2640]|[1391,1842,1974,15450,11097,3515,2351]|[735,686,700,7466,5611,1877,1355]|[496,540,673,5329,3341,1423,1119]|[574,611,530,5018,3670,1780,1426]|[551,872,854,7201,4976,2226,1673]|[839,734,677,6936,5315,1766,1445]|[13527,15441,15817,161839,117910,48495,27966]|[314257,353252,327873,2209961,1349219,533109,317007]|[15110,16701,16031,173928,146722,60202,32119]|[567,620,696,5461,3472,1426,897]|[361,401,494,3471,2143,791,476]|[404,515,544,3491,1999,708,505]|[225,248,238,1841,1155,511,353]|[194,190,197,1832,1106,543,350]|[88,124,169,1302,650,263,208]|[337,453,521,3409,1814,867,623]|[45,70,81,584,348,164,115]|[455,483,468,3308,2034,688,558]|[284,336,366,3207,2242,829,557]|[506,583,507,3846,2823,1124,794]|[731,793,741,5441,3871,1341,1070]|[504,840,869,3717,1277,469,653]|[1843,1735,1656,12674,8942,3312,2945]|[221,278,297,1379,563,166,341]
[14399,11550,8395,42492,26776,10851,14703]|[6377,5658,5587,23387,12990,5143,11663]|[2672,2159,1917,8242,5155,2014,3361]|[4648,3827,3758,15145,9208,4418,7283]|[3331,2558,1878,8571,5388,2112,3268]|[1392,1301,1139,5904,3787,1499,2261]|[12429,10038,7408,29762,19462,7031,7225]|[10537,8919,6692,26949,18024,6815,9378]|[1416,1261,1009,5454,4521,1596,1461]|[1524,1462,1433,7495,5165,1848,1838]|[2600,2322,1878,10879,7259,2687,3154]|[1487,1438,1124,4986,3463,1254,1733]|[6067,5624,4483,20925,11709,3989,3937]|[545,486,401,2607,1435,428,891]|[691,730,479,2968,2059,813,886]|[4309,4418,3711,22768,14996,5804,5212]|[53992,42694,33161,146419,88858,37695,53834]|[101042,110724,91554,592772,435184,165578,86581]|[674,679,528,3380,2004,673,1005]|[607,771,580,2753,1535,463,500]|[1064,1302,1285,8551,4232,1081,1046]|[320,321,269,1941,1397,385,239]|[207,206,202,1701,1157,366,260]|[116,145,159,1078,565,205,201]|[427,480,514,3546,1839,568,557]|[107,122,132,738,437,193,130]|[814,788,696,4820,3161,804,811]|[1256,967,782,4090,2954,755,1006]|[813,711,661,3706,2498,807,868]|[1683,1451,1038,4552,3050,965,1255]|[932,970,1198,7285,2459,558,911]|[1735,1475,1167,6645,4352,1336,2056]|[247,256,301,1279,447,161,299]
[1496,1415,1324,8655,5151,2011,5111]|[3586,4406,4870,25556,15099,4699,5613]|[1248,1297,1464,8231,5033,1560,2245]|[731,974,1144,7609,4974,1970,1673]|[424,461,408,3260,2164,753,961]|[358,379,440,3520,2080,708,1064]|[1079,1252,1273,8998,6652,1998,1813]|[741,960,924,6271,3739,1303,1345]|[518,457,468,3273,2393,812,980]|[435,452,536,3770,2587,894,1175]|[2288,2644,2515,15784,10997,3277,3153]|[2137,2515,2062,11136,7379,2228,2565]|[372,308,253,1845,1066,469,630]|[202,189,240,1422,807,304,639]|[189,200,207,1620,1051,379,503]|[374,443,358,2238,1415,582,876]|[754,848,855,4725,2940,1289,1682]|[384,438,445,3052,2129,1000,939]|[340257,349467,329948,2235509,1477391,495123,297025]|[21312,20192,17690,142732,94408,34680,21315]|[4175,3791,3797,25774,16679,6775,6449]|[8230,6252,5695,42860,30429,12206,10333]|[12352,8686,8197,59757,39626,14987,13070]|[14376,13605,12771,99015,60918,23378,17953]|[3225,3611,3326,19433,10863,4367,4136]|[335,408,418,2009,1002,431,401]|[1703,1577,1365,8070,4633,1468,1856]|[4686,4617,3818,25097,16958,5088,5831]|[145,177,201,850,444,181,413]|[186,200,249,1372,808,307,362]|[127,144,192,792,287,92,382]|[284,355,346,2096,1202,436,726]|[65,98,89,461,161,50,202]
[1058,943,801,5119,3742,1216,2574]|[2507,2926,2983,13623,8918,2676,3781]|[967,1063,1121,5657,3822,1054,1520]|[596,718,768,4626,3337,1161,1136]|[464,394,319,2306,1729,514,678]|[247,220,279,2051,1524,410,420]|[1139,1234,1119,7149,5812,1475,1446]|[801,896,660,3996,2997,847,1149]|[363,376,328,2326,2072,547,567]|[335,319,296,2268,1886,443,566]|[2501,2245,2006,13790,9387,2781,3010]|[1830,1927,1425,7561,5063,1446,1455]|[308,324,236,1237,891,274,325]|[119,101,128,677,482,110,285]|[178,142,122,1109,884,284,300]|[313,304,259,1660,1340,415,507]|[511,530,589,2880,1971,736,1031]|[324,340,329,2283,2154,758,670]|[30914,27281,22869,126659,88744,25023,23811]|[60247,67412,57267,396547,284128,93791,42181]|[5289,5008,4373,30720,18396,5884,5287]|[7034,5627,5024,34856,21463,7170,4476]|[2767,2260,2000,13852,9365,2728,2183]|[1696,1808,1593,10909,6297,1854,1819]|[1309,1467,1752,10582,4957,1767,1540]|[171,226,280,1360,643,277,194]|[2134,1722,1603,10257,6372,2103,1815]|[9393,9022,8088,48411,30102,10263,8129]|[99,138,137,613,424,132,259]|[105,123,114,755,576,200,154]|[68,105,101,432,176,53,191]|[242,235,256,1359,908,317,441]|[51,57,56,317,149,40,149]
