Id,Offset
100600,119068549
100601,119141359
100602,119379351
100604,119514902
100605,119548583
100606,119608738
100607,119687200
100608,119886292
100609,120029568
100610,120279453
100611,120537224
100612,120621115
100613,120818136
100614,120960397
100615,121039361
100616,121212995
100617,121373585
100618,121502523
100619,121600840
100620,121688448
100621,121856784
100622,121938912
100623,121945122
100624,121949973
100625,121993718
100626,122037273
100627,122173302
100629,122498392
100630,122639384
100631,122755819
100632,122815989
100633,122896894
100634,123092997
100635,123213635
100636,123314418
100637,123407756
100638,123548872
100639,123749239
100640,123896054
100641,124022579
100642,124053274
100643,124143467
100644,124287653
100645,124387438
100646,124446828
100647,124612817
100648,124846423
100649,124952403
100650,125141368
100651,125199754
100652,125270836
100653,125522523
100654,125799461
100655,125871302
100656,125959015
100657,126017353
100658,126250586
100660,126313218
100661,126385625
100662,126548640
100663,126707110
100664,126881748
100665,126918917
100666,127058415
100667,127091435
100668,127193272
100669,127322524
100670,127423152
100671,127621828
100672,127901386
100673,127999056
100674,128195776
100675,128498360
100676,128665478
100677,128962503
100678,129164101
100679,129225544
100680,129504216
100681,129638183
100682,129675534
100683,129841537
100684,129933619
100685,130291266
100686,130444357
100687,130563303
100688,130711970
100689,130858853
100690,131075782
100691,131196336
100692,131325127
100693,131475019
100694,131663431
100695,131891614
100696,132112765
100697,132218344
100698,132412418
100699,132458991
100700,132708384
100701,132888453
100702,133053647
100703,133204170
100704,133392185
100705,133580141
100706,133727302
100707,133795388
100708,133906107
100709,134053181
100710,134147923
100711,134301970
100712,134530266
100713,134660731
100714,134777437
100715,134957462
100716,134980837
100717,135109207
100718,135195042
100719,135331877
100720,135440124
100721,135529807
100722,135718414
100723,135847757
100724,136015263
100725,136142265
100726,136294854
100727,136482379
100728,136609671
100729,136764841
100730,136909512
100731,137100646
100732,137269863
100733,137385932
100734,137494404
100735,137635720
100736,137787581
100737,137921729
100738,138105586
100739,138257666
100740,138360790
100741,138551019
100742,138771156
100743,138854333
100744,138926553
100745,139049181
100746,139179811
100747,139218846
100748,139276968
100749,139370177
100750,139574835
100751,139691796
100752,139848999
100753,139972085
100754,140036272
100755,140127456
100756,140285561
100757,140420347
100758,140583138
100759,140769331
100760,140977426
100761,141150547
100762,141296304
100763,141398550
100764,141586363
100765,141692071
100766,141841048
100767,141925525
100768,142101282
100769,142287774
100770,142485516
100771,142612673
100772,142780191
100773,142863707
100774,142981044
100775,143184282
100776,143352267
100777,143388548
100778,143410694
100779,143601044
100780,143690107
100781,143778135
100782,143830309
100783,143832681
100784,143902284
100785,143978609
100786,144101125
100787,144181917
100788,144305061
100789,144393384
100790,144520295
100791,144573025
100792,144574789
100793,144604915
100794,144644712
100795,144771698
100796,144935290
100797,145081200
100798,145225543
100799,145238935
100800,145334774
100801,145383056
100802,145601702
100803,145651415
100804,145787093
100805,145993556
100806,146269451
100807,146483878
100808,146541883
100809,146749194
100810,146844270
100811,147056650
100812,147246003
100813,147503154
100814,147670593
100815,147796313
100816,147891857
100817,148063658
100818,148303679
100819,148395248
100820,148547062
100821,148713051
100822,148796275
100823,148876242
100824,149070021
100825,149234385
100826,149388295
100827,149635978
100828,149800516
100829,150012058
100830,150177363
100831,150287585
100832,150553533
100833,150681564
100834,150830490
100835,150973808
100836,151181410
100837,151377523
100838,151491097
100839,151695397
100840,151950733
100841,152148631
100842,152272180
100843,152389434
100844,152530097
100845,152553718
100846,152696814
100847,152948712
100848,153190314
100849,153336988
100850,153580762
100851,153785938
100852,153988095
100853,154155370
100854,154385118
100855,154604689
100856,154820657
100857,154975736
100859,155220704
100860,155275056
100861,155464685
100862,155632747
100864,155736441
100865,155977486
100866,156194716
100867,156246691
100869,156419659
100870,156635601
100871,156931650
100872,157028071
100873,157226714
100874,157425598
100875,157480572
100876,157627614
100877,157765923
100878,157850647
100879,158025821
100880,158213597
100881,158357306
100882,158491235
100883,158658689
100884,158874930
100885,159072104
100886,159232939
100887,159319156
100888,159435659
100889,159492865
100890,159630394
100891,159762679
100892,159876733
100893,159934037
100894,160098371
100895,160228371
100896,160299495
100897,160334143
100898,160487784
100899,160661896
100900,160764149
100901,160896654
100902,160929112
100903,160958151
100904,161163360
100905,161388046
100906,161467168
100907,161578468
100908,161721846
100909,161802302
100910,161857847
100911,161962194
100912,162091842
100913,162188340
100914,162274753
100915,162352380
100916,162493193
100918,162497528
100920,162637320
100921,162781683
100922,162941615
100924,163191994
100925,163365860
100926,163517521
100927,163657140
100928,163729145
100929,163734812
100930,163800790
100931,164016507
100932,164145867
100933,164368355
100934,164496133
100935,164632499
100936,164803689
100937,165001145
100938,165079987
100939,165213617
100940,165251809
100941,165446105
100942,165612025
100943,165685668
100944,165686016
100945,165827260
100946,165995181
100947,166217810
100948,166423084
100949,166684479
100950,166916544
100951,167141825
100952,167315961
100953,167439425
100954,167635274
100955,167726200
100956,167910719
100957,168030379
100958,168208897
100959,168309698
100960,168415902
100961,168485330
100962,168511585
100963,168601079
100964,168753653
100965,168928286
100966,169005814
100967,169074506
100968,169166740
100969,169210206
100970,169327844
100971,169360715
100972,169491106
100973,169644677
100974,169766747
100975,169972799
100976,170145676
100977,170178308
100978,170396027
100979,170503098
100980,170634639
100981,170782303
100982,170898902
100983,171010218
100984,171130539
100985,171230496
100986,171372534
100987,171477095
100988,171671020
100989,171919911
100990,172066826
100991,172243940
100992,172489478
100993,172685700
100994,172873826
100995,172958348
100996,173028156
100997,173222736
100998,173319959
100999,173478662
101000,173580430
101001,173654135
101002,173780871
101003,174003255
101004,174156672
101005,174259218
101006,174328539
101007,174448887
101008,174602451
101009,174715473
101010,174849925
101011,174878481
101012,175082367
101013,175302598
101014,175484713
101015,175742100
101016,175760580
101017,176018802
101018,176275354
101019,176354658
101020,176601609
101021,176762808
101022,176938591
101023,177210443
101024,177371256
101025,177523135
101026,177775801
101027,178057903
101028,178160261
101029,178265146
101030,178478650
101031,178662917
101032,178804702
101033,179037910
101034,179262119
101035,179516312
101036,179642124
101037,179715894
101038,179974603
101039,180246332
101040,180289263
101041,180502301
101042,180735848
101043,180974542
101044,181101891
101045,181342806
101046,181550975
101047,181776707
101048,182048191
101049,182204511
101050,182478144
101051,182760441
101052,182884325
101053,183012243
101054,183218997
101055,183497063
101056,183792146
101057,184106400
101058,184263659
101059,184442371
101060,184726502
101061,184892107
101062,185033953
101063,185214019
101064,185305836
101065,185520830
101066,185694016
101067,185875164
101068,185881675
101069,186022254
101070,186194339
101071,186346702
101072,186346891
101073,186431773
101074,186602018
101075,186654738
101076,186812673
101077,186973997
101078,187119818
101079,187179769
101080,187356665
101081,187518348
101082,187703577
101083,187726418
101084,187862183
101085,188022156
101086,188192370
101087,188468274
101088,188521129
101089,188742622
101090,188960930
101091,189228753
101092,189448851
101093,189611614
101094,189725326
101095,189849446
101096,189909486
101097,190117885
101098,190229691
101099,190406234
101100,190517123
101101,190625010
101102,190718726
101103,190745353
101104,190755644
101105,190960872
101106,191156852
101107,191353553
101108,191562060
101109,191728743
101110,191915440
101111,192034102
101112,192125031
101113,192272994
101114,192381528
101116,192459471
101117,192627094
101118,192725902
101119,192895693
101120,192924561
101121,193059449
101122,193214223
101123,193334584
101124,193497342
101125,193679379
101126,193804148
101127,193905487
101128,194052586
101129,194184967
101130,194295184
101131,194456463
101132,194487264
101133,194545260
101134,194678230
